labeller_id,qa_id,story_name,section_id,section,question,answer,"readability(grammarly correct and clear language. worst 1 to 5)",source,split
0,0,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",where did the man and his wife and two girls live ?,near a forest .,5.0,groundtruth,test
0,1,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",how did the man's daughter look ?,beautiful .,5.0,groundtruth,test
0,2,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",who thought the most bewitching maiden ever was seen?,her mother.,4.0,PAQ,test
0,3,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",what was the name of the woman's daughter?,cross and ugly.,2.0,PAQ,test
0,4,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",what type of girl was the woman's daughter?,ugly.,4.0,PAQ,test
0,5,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",where did the man and his wife live?,a forest.,5.0,Ours,test
0,6,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",who was good and beautiful?,the man's daughter.,5.0,Ours,test
0,7,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",who was cross and ugly?,the woman's daughter.,5.0,Ours,test
0,8,enchanted-wreath,1,"one day the man called to his daughter and bade her come with him into the forest to cut wood. they worked hard all day, but in spite of the chopping they were very cold, for it rained heavily, and when they returned home, they were wet through. then, to his vexation, the man found that he had left his axe behind him, and he knew that if it lay all night in the mud it would become rusty and useless. so he said to his wife:'i have dropped my axe in the forest, bid your daughter go and fetch it, for mine has worked hard all day and is both wet and weary.' .",what did the man realize when he got home ?,he left his axe behind .,5.0,groundtruth,test
0,9,enchanted-wreath,1,"one day the man called to his daughter and bade her come with him into the forest to cut wood. they worked hard all day, but in spite of the chopping they were very cold, for it rained heavily, and when they returned home, they were wet through. then, to his vexation, the man found that he had left his axe behind him, and he knew that if it lay all night in the mud it would become rusty and useless. so he said to his wife:'i have dropped my axe in the forest, bid your daughter go and fetch it, for mine has worked hard all day and is both wet and weary.' .",where did the man leave his axe ?,in the forest .,5.0,groundtruth,test
0,10,enchanted-wreath,1,"one day the man called to his daughter and bade her come with him into the forest to cut wood. they worked hard all day, but in spite of the chopping they were very cold, for it rained heavily, and when they returned home, they were wet through. then, to his vexation, the man found that he had left his axe behind him, and he knew that if it lay all night in the mud it would become rusty and useless. so he said to his wife:'i have dropped my axe in the forest, bid your daughter go and fetch it, for mine has worked hard all day and is both wet and weary.' .",why did the man want the wife's daughter to fetch the axe ?,his daughter worked hard all day and was wet and weary .,3.0,groundtruth,test
0,11,enchanted-wreath,1,"one day the man called to his daughter and bade her come with him into the forest to cut wood. they worked hard all day, but in spite of the chopping they were very cold, for it rained heavily, and when they returned home, they were wet through. then, to his vexation, the man found that he had left his axe behind him, and he knew that if it lay all night in the mud it would become rusty and useless. so he said to his wife:'i have dropped my axe in the forest, bid your daughter go and fetch it, for mine has worked hard all day and is both wet and weary.' .",what did val say he dropped in the forest?,axe.,2.0,PAQ,test
